dataset,regime,holdout,n_classes_held,n_held_rows,auc,fixed_threshold_recall,recall_at_fpr_0.001,recall_at_fpr_0.01,recall_at_fpr_0.05,recall_at_fpr_0.1,fpr_for_recall_0.61,benign_fpr_default,seconds
cic_iot_2023,leave-one-class-out,DDoS-ICMP Flood  [DDoS],1,50146,0.9963854166385931,1.0,0.061767136325565714,0.9985351772823355,1.0,1.0,0.004048099660160271,0.3156070904971345,190
cic_iot_2023,leave-one-class-out,DoS-UDP Flood  [DoS],1,49957,0.9984589866453372,1.0,0.37271981904437823,0.9994199011149589,0.9999799827851953,1.0,0.0016366180944281093,0.3153825646494268,155
cic_iot_2023,leave-one-class-out,Mirai-GREETH Flood  [Mirai],1,49816,0.9986508642928343,1.0,0.3732928697607194,0.9999799261281516,1.0,1.0,0.0016341056832695727,0.3185817115435884,152
cic_iot_2023,leave-one-class-out,Vulnerability Scan  [Recon],1,49849,0.8499702225220298,0.8323737687817208,0.031412305161588,0.11441872454813537,0.3726067122710586,0.5745014153269189,0.11043566882164754,0.2853905625166622,145
cic_iot_2023,leave-one-class-out,MITM-ARP Spoofing  [Spoofing],1,49911,0.9251403021238107,0.9077157340065316,0.2757475461877698,0.5623640541702692,0.7164160313466078,0.7817340421505835,0.015796180194644724,0.3024526792855239,144
cic_iot_2023,leave-one-class-out,Browser Hijacking  [Web],1,5630,0.8690160184637561,0.8428063943161634,0.01599005328596803,0.10126865008880995,0.3303520103342483,0.5127841918294849,0.13319093228255663,0.31151692881898163,149
cic_iot_2023,leave-one-family-out,Brute Force (1),1,12522,0.8446930709694507,0.798993770963105,0.0134992953578173,0.08228398019485705,0.32912074748442743,0.5112339717993767,0.1356360644148138,0.31080900972944153,143
cic_iot_2023,leave-one-family-out,DDoS (12),12,550484,0.9983370425208773,0.9999891005006504,0.4624244972116845,0.9923316490286201,0.9996895769416927,0.9999430990239079,0.0013191342666276605,0.3129832044788057,86
cic_iot_2023,leave-one-family-out,DoS (4),4,199495,0.998260111580461,0.9999949873430412,0.3148613623311906,0.9958883110889478,0.9997504396275013,0.999879505274628,0.0019373606068513558,0.31844841375633165,117
cic_iot_2023,leave-one-family-out,Mirai (3),3,149846,0.9979676406646387,1.0,0.31883099947525073,0.994190838226096,0.9998438897267862,0.9999742634321962,0.0019132393054752234,0.3240037318405971,135
cic_iot_2023,leave-one-family-out,Recon (5),5,201753,0.8540285233594082,0.5691315618602946,0.0033563106868299357,0.12687343214502664,0.4593603429576129,0.6175857555891036,0.09703517385316406,0.08876449420231908,115
cic_iot_2023,leave-one-family-out,Spoofing (2),2,100051,0.8550146989684687,0.8188923648939042,0.008718333649838582,0.09072709439924768,0.34427573755566476,0.5289491590058301,0.1286606123955504,0.2991202346041056,133
cic_iot_2023,leave-one-family-out,Web (6),6,23799,0.8617146443662126,0.8325139711752595,0.014213212740031095,0.10202109332324888,0.36756853802107803,0.568582821299322,0.11265594494802811,0.30321204851392775,140
